epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
851009,CENTROS PRIVADOS CONCERTADOS DE EDUCACION PRIMARIA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,2785,False
852001,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,33033,False
852002,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,15155,False
852003,CENTRO DE EDUCACION DE PERSONAS ADULTAS (CEPA),Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,6748,False
852004,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,15456,False
853001,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP",Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,17532,False
853002,"CENTRO DE PRIMARIA, SECUNDARIA, BACHILLERATO Y/O FP PRIVADO",Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,20637,False
853003,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP",Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,17697,False
854001,EDUCACION UNIVERSITARIA PUBLICA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,14141,False
854002,EDUCACION UNIVERSITARIA PRIVADA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,9665,False
854003,EDUCACION TERCIARIA NO UNIVERSITARIA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,11397,False
855002,"ENSEÑANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",Educacion,Formacion,Formacion no reglada,Formacion no reglada,True,exact_code,251805,False
855003,ENSEÑANZA DE IDIOMAS,Educacion,Formacion,Idiomas,Idiomas,True,exact_code,40715,False
641001,"INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO",Finanzas,Finanzas y seguros,Banco y caja,Banco y caja,True,exact_code,259420,False
661002,CAMBIO Y ENVIO DE MONEDA,Finanzas,Finanzas y seguros,Cambio y envio de moneda,Cambio y envio de moneda,True,exact_code,19000,False
