zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bar con cocina,299,20,0.06688963210702341,135.0,1.0,0.9866220735785953,True,high,97
district,10.0,Latina,Belleza y cuidado personal,Peluqueria y estetica,Peluqueria,290,29,0.1,135.0,0.996551724137931,0.9862068965517241,True,high,98
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bar restaurante,136,7,0.051470588235294115,135.0,0.9926470588235294,0.9852941176470589,False,low,99
district,10.0,Latina,Servicios,Logistica y movilidad,Logistica y movilidad,136,11,0.08088235294117647,135.0,0.9926470588235294,0.9852941176470589,False,low,100
district,10.0,Latina,Alimentacion,Alimentacion fresca,Charcuteria,57,4,0.07017543859649122,135.0,1.0,0.9824561403508771,False,low,101
district,10.0,Latina,Retail especializado,Moda y complementos,Joyeria y relojeria,49,5,0.10204081632653061,135.0,1.0,0.9795918367346939,False,low,102
district,10.0,Latina,Alimentacion,Supermercado y conveniencia,Supermercado,91,11,0.12087912087912088,135.0,0.989010989010989,0.9780219780219781,False,low,103
district,10.0,Latina,Hosteleria,Restauracion,Restaurante,45,5,0.1111111111111111,135.0,1.0,0.9777777777777777,False,low,104
district,10.0,Latina,Alimentacion,Supermercado y conveniencia,Tienda de alimentacion,173,20,0.11560693641618497,135.0,0.9826589595375722,0.976878612716763,True,high,105
district,10.0,Latina,Retail especializado,Hogar y reformas,Ferreteria,41,5,0.12195121951219512,135.0,1.0,0.975609756097561,False,low,106
district,10.0,Latina,Salud y bienestar,Salud retail,Herbolario,38,6,0.15789473684210525,135.0,0.9736842105263158,0.9736842105263158,False,low,107
district,10.0,Latina,Servicios,Servicios profesionales,Oficina y administracion,37,7,0.1891891891891892,135.0,0.972972972972973,0.972972972972973,False,low,108
district,10.0,Latina,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,33,1,0.030303030303030304,135.0,0.9696969696969697,0.9696969696969697,False,low,109
